,user,num_of_hits,total_seconds
623,175.136.224.10,2,4.0
624,175.136.81.224,1,0.0
625,175.136.93.131,2,1.0
626,175.137.134.115,204,110470.0
627,175.137.182.138,1,0.0
628,175.137.207.104,1,0.0
629,175.137.241.155,36,4222.0
630,175.137.38.231,381,349301.0
631,175.137.58.199,1,0.0
632,175.137.82.113,2,2.0
633,175.138.176.125,2,2.0
634,175.138.199.179,2,1.0
635,175.138.207.169,1,0.0
636,175.138.231.161,1,0.0
637,175.139.37.42,3,3.0
638,175.139.39.215,31,30.0
639,175.139.74.118,41,345.0
640,175.140.106.161,1,0.0
641,175.140.238.205,1,0.0
642,175.140.49.81,1,0.0
643,175.141.232.68,1,0.0
644,175.141.67.34,85,2709.0
645,175.141.9.247,1,0.0
646,175.142.191.93,1,0.0
647,175.142.193.125,1,0.0
648,175.142.194.177,2,5.0
649,175.142.204.221,50,213.0
650,175.142.207.140,20,2053.0
651,175.142.207.55,32,31.0
652,175.142.209.106,33,207.0
653,175.142.47.197,1,0.0
654,175.142.95.232,1,0.0
655,175.142.95.49,1,0.0
656,175.143.154.214,2,4.0
657,175.143.242.8,1,0.0
658,175.143.254.40,1,0.0
659,175.143.31.27,1,0.0
660,175.144.101.171,74,1689.0
661,175.144.14.109,2,2.0
662,175.144.188.216,3,61464.0
663,175.144.190.138,2,1.0
664,175.144.72.83,1,0.0
665,175.144.77.74,1,0.0
666,175.144.86.170,1,0.0
667,175.145.118.160,2,14.0
668,175.145.118.170,1,0.0
669,175.145.218.143,1,0.0
670,175.145.247.178,1,0.0
671,175.145.59.208,1,0.0
672,18.206.183.26,1,0.0
673,18.209.160.101,1,0.0
674,18.212.27.105,1,0.0
675,180.72.119.221,2,4.0
676,180.72.139.191,1,0.0
677,180.72.143.175,2,1.0
678,180.72.159.66,2,3.0
679,180.72.183.241,53,345.0
680,180.72.255.83,2,2.0
681,180.73.20.183,1,0.0
682,180.73.200.197,1,0.0
683,180.74.136.191,1,0.0
684,180.74.14.50,75,1788.0
685,180.74.194.16,1,0.0
686,180.75.109.18,13,12.0
687,180.75.53.59,1,0.0
688,183.171.100.207,1,0.0
689,183.171.100.99,1,0.0
690,183.171.106.76,1,0.0
691,183.171.107.19,1,0.0
692,183.171.107.39,2,25.0
693,183.171.108.235,1,0.0
694,183.171.112.238,1,0.0
695,183.171.113.52,1,0.0
696,183.171.115.103,1,0.0
697,183.171.115.223,1,0.0
698,183.171.116.102,1,0.0
699,183.171.116.67,1,0.0
700,183.171.117.140,1,0.0
701,183.171.117.150,1,0.0
702,183.171.117.196,1,0.0
703,183.171.117.216,1,0.0
704,183.171.117.239,1,0.0
705,183.171.117.3,1,0.0
706,183.171.117.9,1,0.0
707,183.171.118.120,1,0.0
708,183.171.118.20,1,0.0
709,183.171.118.46,1,0.0
710,183.171.119.52,1,0.0
711,183.171.119.64,1,0.0
712,183.171.123.185,1,0.0
713,183.171.124.165,1,0.0
714,183.171.124.242,1,0.0
715,183.171.124.245,1,0.0
716,183.171.124.51,1,0.0
717,183.171.124.64,1,0.0
718,183.171.125.49,1,0.0
719,183.171.126.192,1,0.0
720,183.171.126.47,1,0.0
721,183.171.127.153,1,0.0
722,183.171.127.235,1,0.0
723,183.171.127.6,1,0.0
724,183.171.128.62,3,17.0
725,183.171.129.157,1,0.0
726,183.171.132.140,4,58347.0
727,183.171.132.196,1,0.0
728,183.171.132.198,1,0.0
729,183.171.133.228,1,0.0
730,183.171.134.10,1,0.0
731,183.171.134.152,1,0.0
732,183.171.135.87,1,0.0
733,183.171.142.213,1,0.0
734,183.171.158.123,1,0.0
735,183.171.16.31,1,0.0
736,183.171.18.210,1,0.0
737,183.171.18.234,1,0.0
738,183.171.184.127,2,22360.0
739,183.171.184.129,1,0.0
740,183.171.184.130,1,0.0
741,183.171.184.145,1,0.0
742,183.171.184.156,1,0.0
743,183.171.184.18,1,0.0
744,183.171.184.47,1,0.0
745,183.171.184.55,1,0.0
746,183.171.184.59,1,0.0
747,183.171.184.7,1,0.0
748,183.171.184.96,1,0.0
749,183.171.185.63,105,1051.0
750,183.171.185.67,1,0.0
751,183.171.185.94,1,0.0
752,183.171.185.95,1,0.0
753,183.171.19.156,1,0.0
754,183.171.19.28,1,0.0
755,183.171.19.60,1,0.0
756,183.171.20.135,1,0.0
757,183.171.20.44,1,0.0
758,183.171.20.8,2,12.0
759,183.171.22.89,1,0.0
760,183.171.23.7,1,0.0
761,183.171.23.91,3,6.0
762,183.171.24.37,1,0.0
763,183.171.25.121,1,0.0
764,183.171.25.151,1,0.0
765,183.171.25.178,1,0.0
766,183.171.25.3,1,0.0
767,183.171.26.115,1,0.0
768,183.171.26.148,2,628.0
769,183.171.26.192,1,0.0
770,183.171.27.60,1,0.0
771,183.171.28.174,1,0.0
772,183.171.29.66,1,0.0
773,183.171.30.162,1,0.0
774,183.171.30.198,1,0.0
775,183.171.31.246,1,0.0
776,183.171.64.227,1,0.0
777,183.171.65.132,1,0.0
778,183.171.65.163,2,13.0
779,183.171.65.2,1,0.0
780,183.171.65.233,1,0.0
781,183.171.66.30,1,0.0
782,183.171.67.170,1,0.0
783,183.171.68.125,2,4.0
784,183.171.69.42,1,0.0
785,183.171.70.204,1,0.0
786,183.171.70.211,2,2596.0
787,183.171.71.16,1,0.0
788,183.171.73.89,1,0.0
789,183.171.76.207,1,0.0
790,183.171.77.19,1,0.0
791,183.171.77.190,1,0.0
792,183.171.77.4,1,0.0
793,183.171.77.85,1,0.0
794,183.171.79.62,1,0.0
795,183.171.80.226,1,0.0
796,183.171.81.246,3,42.0
797,183.171.84.38,2,8.0
798,183.171.85.216,1,0.0
799,183.171.87.70,1,0.0
800,183.171.90.71,1,0.0
801,183.171.91.232,1,0.0
802,183.171.95.194,1,0.0
803,183.78.10.16,2,4.0
804,183.78.114.225,53,3841.0
805,183.78.115.163,1,0.0
806,183.78.117.87,1,0.0
807,183.78.118.135,1,0.0
808,183.78.44.46,1,0.0
809,183.78.80.128,1,0.0
810,183.78.80.189,2,8.0
811,183.78.81.47,2,12.0
812,183.78.84.201,1,0.0
813,183.78.84.245,6,89.0
814,183.78.90.244,1,0.0
815,184.72.112.212,5,1075.0
816,202.168.64.145,1,0.0
817,202.168.68.247,1,0.0
818,202.184.120.110,2,4.0
819,202.184.3.163,2,2.0
820,202.185.131.128,2,1.0
821,202.185.46.126,295,116619.0
822,202.185.50.187,2,3.0
823,202.186.106.24,3,4.0
824,202.186.169.32,3,50.0
825,202.186.170.225,2,1.0
826,202.186.54.255,36,123.0
827,202.186.87.248,89,1542.0
828,202.187.187.206,35,245.0
829,202.187.203.115,1,0.0
830,202.187.241.197,2,2.0
831,202.187.41.49,2,5.0
832,202.187.44.44,1,0.0
833,202.188.199.105,2,1.0
834,202.188.26.141,2,3.0
835,202.188.83.101,1,0.0
836,202.190.116.239,2,4.0
837,202.190.2.103,1,0.0
838,202.190.206.214,4,45.0
839,202.190.74.185,39,228.0
840,202.190.84.142,2,3.0
841,203.106.143.56,2,3.0
842,203.106.159.70,1,0.0
843,203.106.224.19,2,4.0
844,203.106.70.65,1,0.0
845,203.82.75.132,27,449410.0
846,203.82.75.133,18,370338.0
847,203.82.75.134,34,448871.0
848,209.190.95.42,1,0.0
849,210.186.190.152,2,2.0
850,210.186.195.164,98,8128.0
851,210.186.5.93,2,1.0
852,210.187.212.110,2,2.0
853,210.187.225.202,2,8.0
854,210.187.255.161,2,3.0
855,210.195.105.120,2,4.0
856,210.195.148.237,2,6.0
857,210.195.158.50,1,0.0
858,210.195.215.13,37,188.0
859,210.195.51.114,2,6.0
860,210.195.80.212,2,3.0
861,210.195.83.102,1,0.0
862,218.111.218.174,38,268.0
863,218.111.223.118,1,0.0
864,218.111.249.226,2,1.0
865,218.208.174.1,2,3.0
866,218.208.18.241,2,3.0
867,218.208.216.190,1,0.0
868,219.92.163.1,1,0.0
869,219.92.167.28,1,0.0
870,219.92.175.186,1,0.0
871,219.92.177.158,1,0.0
872,219.92.199.22,4,9.0
873,219.92.209.211,1,0.0
874,219.92.68.234,1,0.0
875,219.93.140.101,1,0.0
876,219.93.144.65,4,51.0
877,219.93.158.43,241,449072.0
878,219.93.182.200,1,0.0
879,219.93.236.38,2,1.0
880,219.94.102.119,2,8.0
881,219.94.86.76,281,3038.0
882,219.95.195.75,6,12779.0
883,219.95.29.164,1,0.0
884,219.95.81.212,2,2.0
885,27.115.124.38,1,0.0
886,27.115.124.70,1,0.0
887,27.125.240.101,1,0.0
888,27.125.240.104,3,235609.0
889,27.125.240.122,1,0.0
890,27.125.240.14,1,0.0
891,27.125.240.144,1,0.0
892,27.125.240.17,1,0.0
893,27.125.240.196,1,0.0
894,27.125.240.20,1,0.0
895,27.125.240.219,1,0.0
896,27.125.240.228,1,0.0
897,27.125.240.251,35,156.0
898,27.125.240.33,1,0.0
899,27.125.240.43,1,0.0
900,27.125.240.46,1,0.0
901,27.125.240.91,1,0.0
902,27.125.240.99,1,0.0
903,27.125.241.114,1,0.0
904,27.125.241.160,2,24.0
905,27.125.241.18,1,0.0
906,27.125.241.200,1,0.0
907,27.125.241.41,2,2.0
908,27.125.241.44,1,0.0
909,27.125.241.50,1,0.0
910,27.125.242.154,1,0.0
911,27.125.242.158,1,0.0
912,27.125.242.179,1,0.0
913,27.125.242.190,5,35.0
914,27.125.242.200,1,0.0
915,27.125.242.22,1,0.0
916,27.125.242.23,1,0.0
917,27.125.242.232,1,0.0
918,27.125.242.234,2,14.0
919,27.125.242.25,1,0.0
920,27.125.242.32,1,0.0
921,27.125.242.46,34,2128.0
922,27.125.242.48,1,0.0
923,27.125.242.66,1,0.0
924,27.125.242.67,1,0.0
925,27.125.244.124,2,13.0
926,27.125.244.206,1,0.0
927,27.125.244.207,1,0.0
928,27.125.244.227,1,0.0
929,27.125.244.254,2,11.0
930,27.125.244.34,1,0.0
931,27.125.244.70,1,0.0
932,27.125.245.106,1,0.0
933,27.125.245.130,2,1.0
934,27.125.245.167,2,8.0
935,27.125.245.174,1,0.0
936,27.125.245.203,1,0.0
937,27.125.245.217,1,0.0
938,27.125.245.219,1,0.0
939,27.125.245.222,1,0.0
940,27.125.245.240,2,14.0
941,27.125.245.38,1,0.0
942,27.125.245.41,1,0.0
943,27.125.245.43,1,0.0
944,27.125.246.130,2,14.0
945,27.125.246.157,4,49.0
946,27.125.246.164,1,0.0
947,27.125.246.195,1,0.0
948,27.125.246.43,1,0.0
949,27.125.246.45,1,0.0
950,27.125.246.82,1,0.0
951,27.125.246.95,1,0.0
952,27.125.248.102,1,0.0
953,27.125.248.147,34,340.0
954,27.125.248.15,3,73.0
955,27.125.248.169,1,0.0
956,27.125.248.194,1,0.0
957,27.125.248.21,1,0.0
958,27.125.248.215,1,0.0
959,27.125.248.222,1,0.0
960,27.125.248.34,2,13.0
961,27.125.249.100,37,321.0
962,27.125.249.106,1,0.0
963,27.125.249.108,1,0.0
964,27.125.249.111,1,0.0
965,27.125.249.119,1,0.0
966,27.125.249.152,1,0.0
967,27.125.249.157,1,0.0
968,27.125.249.17,1,0.0
969,27.125.249.226,1,0.0
970,27.125.249.229,1,0.0
971,27.125.249.231,3,5.0
972,27.125.249.31,1,0.0
973,27.125.249.32,1,0.0
974,27.125.249.54,1,0.0
975,27.125.249.57,1,0.0
976,27.125.249.96,1,0.0
977,27.125.250.107,2,5.0
978,27.125.250.125,1,0.0
979,27.125.250.134,1,0.0
980,27.125.250.139,1,0.0
981,27.125.250.150,1,0.0
982,27.125.250.160,1,0.0
983,27.125.250.194,1,0.0
984,27.125.250.199,1,0.0
985,27.125.250.210,1,0.0
986,27.125.250.22,1,0.0
987,27.125.250.229,1,0.0
988,27.125.250.53,2,14.0
989,27.125.250.62,1,0.0
990,27.125.250.89,1,0.0
991,27.125.250.95,1,0.0
992,27.125.250.98,1,0.0
993,3.81.2.158,1,0.0
994,3.83.10.28,1,0.0
995,3.83.147.143,1,0.0
996,3.87.25.96,1,0.0
997,3.87.27.130,3,1259.0
998,3.92.235.15,1,0.0
999,3.95.30.151,1,0.0
1000,31.13.103.1,2,1.0
1001,31.13.103.10,1,0.0
1002,31.13.103.116,2,1.0
1003,31.13.103.119,1,0.0
1004,31.13.103.15,1,0.0
1005,31.13.103.17,1,0.0
1006,31.13.103.18,1,0.0
1007,31.13.103.24,1,0.0
1008,31.13.103.3,1,0.0
1009,31.13.103.9,2,1.0
1010,31.13.115.1,3,215545.0
1011,31.13.115.10,3,484134.0
1012,31.13.115.111,1,0.0
1013,31.13.115.112,2,3.0
1014,31.13.115.116,2,1.0
1015,31.13.115.118,2,1.0
1016,31.13.115.119,2,1.0
1017,31.13.115.13,4,484136.0
1018,31.13.115.16,3,83064.0
1019,31.13.115.17,1,0.0
1020,31.13.115.18,1,0.0
1021,31.13.115.21,2,3.0
1022,31.13.115.23,4,132484.0
1023,31.13.115.4,2,1.0
1024,31.13.115.5,3,313138.0
1025,31.13.115.6,2,2.0
1026,31.13.115.8,2,396202.0
1027,31.13.115.9,1,0.0
1028,31.13.127.1,4,73432.0
1029,31.13.127.11,1,0.0
1030,31.13.127.111,1,0.0
1031,31.13.127.113,2,2.0
1032,31.13.127.116,1,0.0
1033,31.13.127.117,1,0.0
1034,31.13.127.119,1,0.0
1035,31.13.127.120,2,156254.0
1036,31.13.127.13,1,0.0
1037,31.13.127.14,4,73432.0
1038,31.13.127.16,2,9853.0
1039,31.13.127.18,6,6.0
1040,31.13.127.19,1,0.0
1041,31.13.127.2,6,8.0
1042,31.13.127.21,3,18880.0
1043,31.13.127.22,3,64406.0
1044,31.13.127.24,4,5.0
1045,31.13.127.25,3,175132.0
1046,31.13.127.29,4,4.0
1047,31.13.127.3,5,68763.0
1048,31.13.127.30,2,65682.0
1049,31.13.127.31,1,0.0
1050,31.13.127.32,6,1271.0
1051,31.13.127.33,1,0.0
1052,31.13.127.35,1,0.0
1053,31.13.127.4,1,0.0
1054,31.13.127.40,1,0.0
1055,31.13.127.41,1,0.0
1056,31.13.127.6,4,175132.0
1057,31.13.127.7,2,2.0
1058,31.13.127.9,4,65680.0
1059,34.207.200.46,2,542.0
1060,34.207.223.48,2,307.0
1061,34.209.124.51,1,0.0
1062,34.212.167.18,1,0.0
1063,34.214.131.145,1,0.0
1064,34.217.149.153,1,0.0
1065,34.217.17.190,2,850.0
1066,34.219.136.247,2,1257.0
1067,34.219.178.239,2,328.0
1068,34.221.142.39,1,0.0
1069,34.221.154.154,2,1196.0
1070,34.222.36.197,1,0.0
1071,34.239.109.246,1,0.0
1072,35.162.157.3,1,0.0
1073,35.165.72.144,1,0.0
1074,38.91.100.103,1,0.0
1075,40.77.167.36,3,205.0
1076,40.94.25.133,1,0.0
1077,40.94.25.163,1,0.0
1078,40.94.25.175,2,1.0
1079,42.0.30.151,1,0.0
1080,42.153.129.103,1,0.0
1081,42.153.129.124,65,2806.0
1082,42.153.129.27,1,0.0
1083,42.153.131.36,1,0.0
1084,42.153.133.2,1,0.0
1085,42.153.138.228,1,0.0
1086,42.153.139.176,2,5.0
1087,42.153.145.65,1,0.0
1088,42.153.151.230,1,0.0
1089,42.153.48.168,1,0.0
1090,42.153.54.56,2,3.0
1091,42.153.58.83,1,0.0
1092,42.188.125.23,1,0.0
1093,42.188.159.15,2,2.0
1094,42.188.209.15,2,1.0
1095,42.188.26.49,1,0.0
1096,42.188.97.152,1,0.0
1097,42.189.122.44,1,0.0
1098,42.189.129.7,1,0.0
1099,42.189.142.38,2,4.0
1100,42.189.147.38,2,1.0
1101,42.189.150.100,53,581.0
1102,42.189.152.135,2,2.0
1103,42.189.17.90,1,0.0
1104,42.189.190.137,1,0.0
1105,42.189.250.185,2,2.0
1106,42.189.83.177,2,5.0
1107,42.190.234.92,2,1.0
1108,42.190.5.11,2,5.0
1109,42.191.118.71,35,338.0
1110,42.191.129.72,2,7.0
1111,42.191.78.153,4,84.0
1112,42.191.84.27,2,2.0
1113,42.61.238.132,59,588.0
1114,50.112.179.150,1,0.0
1115,52.24.113.54,2,986.0
1116,52.33.74.123,1,0.0
1117,52.42.80.90,1,0.0
1118,54.146.219.15,1,0.0
1119,54.163.0.137,1,0.0
1120,54.185.209.42,1,0.0
1121,54.189.116.137,1,0.0
1122,54.190.158.10,1,0.0
1123,54.198.153.192,1,0.0
1124,54.200.79.41,1,0.0
1125,54.213.214.194,1,0.0
1126,54.218.104.114,1,0.0
1127,54.218.53.14,2,1026.0
1128,54.218.66.186,1,0.0
1129,54.70.56.83,2,273690.0
1130,54.80.240.65,2,70.0
1131,54.89.229.225,1,0.0
1132,54.92.138.244,2,242.0
1133,58.251.98.105,1,0.0
1134,60.48.160.150,2,1.0
1135,60.48.202.249,84,1897.0
1136,60.48.223.194,2,3.0
1137,60.49.110.65,2,1.0
1138,60.49.122.8,2,1.0
1139,60.49.170.126,2,2.0
1140,60.49.242.243,53,700.0
1141,60.49.245.61,1,0.0
1142,60.50.124.235,1,0.0
1143,60.50.18.43,3,165827.0
1144,60.50.186.9,1,0.0
1145,60.50.210.4,1,0.0
1146,60.50.238.72,2,4.0
1147,60.50.30.173,47,1521.0
1148,60.50.4.97,75,1445.0
1149,60.50.45.180,2,5.0
1150,60.51.137.200,2,3.0
1151,60.51.233.243,2,2.0
1152,60.51.3.59,4,70.0
1153,60.51.33.233,1,0.0
1154,60.51.33.254,6,121.0
1155,60.51.33.81,44,939.0
1156,60.52.136.94,4,64.0
1157,60.52.139.40,2,7.0
1158,60.52.192.100,2,2.0
1159,60.52.198.186,1,0.0
1160,60.52.202.213,55,427.0
1161,60.52.228.90,2,2.0
1162,60.52.234.62,3,27.0
1163,60.52.238.49,2,2.0
1164,60.52.38.174,4,43.0
1165,60.52.4.89,2,1.0
1166,60.52.43.181,1,0.0
1167,60.52.55.49,103,167040.0
1168,60.53.18.215,1,0.0
1169,60.53.244.236,54,26980.0
1170,60.54.207.115,70,2191.0
1171,61.221.225.123,1,0.0
1172,61.6.236.167,12,82.0
1173,61.6.237.128,21,112.0
1174,66.102.7.117,2,760.0
1175,66.220.149.1,6,344807.0
1176,66.220.149.10,1,0.0
1177,66.220.149.117,2,206041.0
1178,66.220.149.118,2,125507.0
1179,66.220.149.119,3,167128.0
1180,66.220.149.12,2,92568.0
1181,66.220.149.120,1,0.0
1182,66.220.149.14,2,1.0
1183,66.220.149.15,1,0.0
1184,66.220.149.16,2,218606.0
1185,66.220.149.17,1,0.0
1186,66.220.149.18,2,34018.0
1187,66.220.149.2,1,0.0
1188,66.220.149.20,2,372900.0
1189,66.220.149.21,1,0.0
1190,66.220.149.22,1,0.0
1191,66.220.149.24,2,1.0
1192,66.220.149.25,1,0.0
1193,66.220.149.26,2,203694.0
1194,66.220.149.29,1,0.0
1195,66.220.149.3,2,1.0
1196,66.220.149.32,2,160202.0
1197,66.220.149.33,1,0.0
1198,66.220.149.34,2,1.0
1199,66.220.149.35,3,167557.0
1200,66.220.149.37,2,178735.0
1201,66.220.149.38,1,0.0
1202,66.220.149.39,5,252084.0
1203,66.220.149.4,2,15001.0
1204,66.220.149.40,5,203692.0
1205,66.220.149.41,1,0.0
1206,66.220.149.43,1,0.0
1207,66.220.149.44,4,3.0
1208,66.220.149.45,4,450525.0
1209,66.220.149.46,2,236948.0
1210,66.220.149.47,1,0.0
1211,66.220.149.5,1,0.0
1212,66.220.149.50,2,58975.0
1213,66.220.149.52,1,0.0
1214,66.220.149.6,2,1.0
1215,66.220.149.7,5,409732.0
1216,66.220.149.8,2,79.0
1217,66.220.149.9,4,203701.0
1218,69.171.231.113,1,0.0
1219,69.171.231.118,1,0.0
1220,69.171.231.119,1,0.0
1221,69.171.249.1,1,0.0
1222,69.171.249.10,1,0.0
1223,69.171.249.111,1,0.0
1224,69.171.249.117,3,438515.0
1225,69.171.249.118,2,93791.0
1226,69.171.249.119,2,423386.0
1227,69.171.249.120,1,0.0
1228,69.171.249.15,1,0.0
1229,69.171.249.17,1,0.0
1230,69.171.249.20,1,0.0
1231,69.171.249.21,3,522584.0
1232,69.171.249.23,2,95861.0
1233,69.171.249.24,2,532831.0
1234,69.171.249.3,2,413924.0
1235,69.171.249.5,2,482731.0
1236,69.171.249.6,3,10250.0
1237,69.171.249.7,3,417103.0
1238,69.171.251.119,2,7.0
1239,69.171.251.13,1,0.0
1240,69.171.251.20,1,0.0
1241,69.171.251.6,1,0.0
1242,69.63.184.113,1,0.0
1243,69.63.184.118,1,0.0
1244,69.63.184.2,3,155421.0
1245,74.125.212.3,2,1.0
1246,89.187.163.218,2,3.0
1247,89.211.218.184,1,0.0
